Name,Latitude,Longitude,Elevation
North Barbuda Island,17,669,-61,786,39
Gun Hill, Barbados,13,143,-59,559,180
Isla Barro Colorado, Panama,9,166,-79,837,61
Grenville, Grenada,12,132,-61,654,195
Grand Turk, Turks and Caicos Islands,21,511,-71,133,12
Guantanamo Bay, Cuba,19,927,-75,111,79
Mount Denham, Jamaica,18,226,-77,535,925
Presa de Sabenta, Dominican Republic,18,982,-71,288,589
Tegucigalpa, Honduras,14,057,-87,273,1151
Brasilia, Distrito Federal, Brazil,-15,642,-48,015,1095
Bogoin, Central African Republic,5,176,18,424,676
Boshof, South Africa,-28,614,25,256,1306
Villa Florida, Paraguay,-26,331,-57,331,100
Dimbokro, Ivory Coast,6,67,-4,857,161
Lobatse, Botswana,-25,015,25,597,1148
La Paz, Bolivia,-16,288,-68,131,4786
Paso Flores, Argentina,-40,733,-70,551,1049
Dry Valley, Vanda, Antarctica,-77,517,161,853,98
Baijiatuan, Beijing, China,40,018,116,168,137
Enshi, Hubei Province, China,30,276,109,494,500
Hailar, Neimenggu Autonomous Region, China,49,27,119,741,620
Kunming, Yunnan Province, China,25,123,102,74,1940
Tibet, China,29,703,91,127,3645
Mudanjiang, Heilongjiang Province, China,44,618,129,593,240
Qiongzhong, Hainan Province, China,19,029,109,844,240
Shanghai, China,31,095,121,191,40
Urumqi, Xinjiang Province, China,43,814,87,705,844
Xi'an, China,34,031,108,924,630
Ala Archa, Kyrgyzstan,42,639,74,494,1645
Alibek, Turkmenistan,37,93,58,119,678
Ambohimpanompo, Madagascar,-19,018,47,229,1528
Alert, N.W.T., Canada,82,503,-62,35,60
Arti, Russia,56,43,58,562,250
Butt Crater, Ascension Island,-7,933,-14,36,173
Black Forest Observatory, Schiltach, Germany,48,332,8,331,589
Borgarfjordur, Asbjarnarstadir, Iceland,64,747,-21,327,110
Borovoye, Kazakhstan,53,058,70,283,330
Cha de Macela, Sao Miguel Island, Azores,37,764,-25,524,429
West Island, Cocos (Keeling) Islands,-12,19,96,835,1
Diego Garcia, Chagos Islands, Indian Ocean,-7,412,72,453,1
Mount Kent, East Falkland Island,-51,675,-58,064,110
Erimo, Hokkaido Island, Japan,42,015,143,157,40
Eskdalemuir, Scotland, UK,55,317,-3,205,242
Flin Flon, Canada,54,725,-101,978,338
Hope Point, South Georgia Island,-54,284,-36,488,20
Las Juntas de Abangares, Costa Rica,10,291,-84,953,340
Kappang, Sulawesi, Indonesia,-5,014,119,752,300
Kodiak Island, Alaska, USA,57,783,-152,583,152
Kislovodsk, Russia,43,955,42,686,1054
Kurchatov, Kazakhstan,50,715,78,62,184
Kwajalein Atoll, Pacific Ocean,8,802,167,613,0
Lovozero, Russia,67,898,34,651,630
Mbarara, Uganda,-0,602,30,738,1390
Mahe, Seychelles,-4,674,55,479,475
Monasavu, Fiji,-17,745,178,053,801,1
Nilore, Pakistan,33,651,73,269,629
Nana, Peru,-11,988,-76,842,575
Norilsk, Russia,69,505,88,441,92
Obninsk, Russia,55,115,36,567,160
Pallekele, Sri Lanka,7,273,80,702,460
Pinon Flat, California, USA,33,611,-116,456,1280
Ar Rayn, Saudi Arabia,23,523,45,503,631
Rapanui, Easter Island, Chile,-27,127,-109,334,110
Santiago Island, Cape Verde,14,97,-23,608,387
Horse Pasture, St. Helena Island,-15,959,-5,746,537
Sutherland, South Africa,-32,38,20,812,1770
Hobart, Tasmania, Australia,-42,91,147,32,132
Talaya, Russia,51,681,103,644,579
Tennant Creek, NT, Australia,-19,934,134,36,366
Adak, Aleutian Islands, Alaska,51,882,-176,684,130
Afiamalu, Samoa,-13,909,-171,783,706
Albuquerque, New Mexico, USA,34,946,-106,457,1816
Ankara, Turkey,39,868,32,793,1090
Bermuda Institute of Ocean Sciences, St George's Bermuda,32,371,-64,696,30
Bilibino, Russia,68,065,166,453,320
Casey, Antarctica,-66,279,110,535,10
Cathedral Cave, Missouri, USA,38,056,-91,245,172
Chiang Mai, Thailand,18,814,98,944,420
College Outpost, Alaska, USA,64,874,-147,862,200
Corvallis, Oregon, USA,44,586,-123,305,110
Charters Towers, Australia,-20,088,146,25,367
Davao, Philippines,7,07,125,579,150
Disney Wilderness Preserve, Florida, USA,28,11,-81,433,30
Funafuti, Tuvalu,-8,526,179,197,20
Mt. Furi, Ethiopia,8,895,38,68,2570
Garni, Armenia,40,148,44,741,1609
Grafenberg, Germany,49,691,11,22,285
Guam, Mariana Islands,13,589,144,868,170
Hockley1 Texas,29,965,-95,838,-381
Honiara, Solomon Islands,-9,439,159,947,99
Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA,42,506,-71,558,200
Inchon, Republic of Korea,37,478,126,624,55
Johnston Island, USA,16,733,-169,529,2
Kabul, Afghanistan,34,541,69,043,1913
Ny-Alesund, Spitzbergen, Norway,78,915,11,938,90
Kevo, Finland,69,757,27,003,85
Kiev, Ukraine,50,701,29,224,180
Kipapa, Hawaii, USA,21,42,-158,011,77
Kilima Mbogo, Kenya,-1,127,37,252,1930
Kanton, Kiritibati,-2,774,-171,719,20
Kongsberg, Norway,59,649,9,598,216
Kowa, Mali,14,497,-4,014,321
Las Campanas Astronomical Observatory, Chile,-29,011,-70,701,2274
Lusaka, Zambia,-15,278,28,188,1200
Limon Verde, Chile,-22,613,-68,911,2930
Magadan, Russia,59,576,150,77,335
Morro de la Arena, Canary Islands,28,25,-16,508,1674
Matsushiro, Japan,36,546,138,204,405
Makanchi, Kazakhstan,46,808,81,977,600
Marble Bar, Western Australia,-21,159,119,731,190
Midway Island, USA,28,216,-177,37,20
Masuku, Gabon,-1,656,13,612,312
Narrogin, Australia,-32,928,117,239,380
Otavalo, Ecuador,0,238,-78,451,3509
San Pablo, Spain,39,545,-4,35,950
Puerto Ayora, Galapagos Islands,-0,674,-90,286,270
Petropavlovsk, Russia,53,023,158,65,96
Port Moresby, New Guinea,-9,405,147,16,90
Palmer Station, Antarctica,-64,774,-64,049,40
Pohakuloa, Hawaii, USA,19,757,-155,533,1990
Pitcairn Island, South Pacific,-25,071,-130,095,220
Pitinga, Brazil,-0,731,-59,967,237
South Pole Remote Earth Science Observatory (Quiet Zone),-89,929,144,438,2600
Raoul, Kermadec Islands,-29,245,-177,929,60
Rarotonga, Cook Islands,-21,212,-159,773,28
Riachuelo, Brazil,-5,827,-35,901,400
Black Hills, South Dakota, USA,44,121,-104,036,2090
Samuel, Brazil,-8,949,-63,183,120
Scott Base, Antarctica,-77,849,166,757,50
Santo Domingo, Venezuela,8,884,-70,634,1590
Sondre Stromfjord, Greenland,66,996,-50,621,330
San Juan, Puerto Rico,18,109,-66,15,420
Sierra la Laguna Baja California Sur, Mexico,23,686,-109,944,825
South Karori, New Zealand,-41,309,174,704,120
Standing Stone, Pennsylvania,40,636,-77,888,270
Tarawa Island, Republic of Kiribati,1,355,172,923,20
Taipei, Taiwan,24,974,121,497,160
Tepich, Yucatan, Mexico,20,226,-88,276,10
Tiksi, Russia,71,634,128,867,40
Tristan da Cunha,-37,068,-12,315,58
Tornquist, Argentina,-38,057,-61,979,540
Tsumeb, Namibia,-19,202,17,584,1260
Tucson, Arizona,32,31,-110,785,910
Ulaanbaatar, Mongolia,47,865,107,053,1610
Wake Island,19,283,166,652,20
Wyandotte Cave, Indiana, USA,38,229,-86,294,210
Waverly, Tennessee, USA,36,13,-87,83,170
Kiritimati Island, Republic of Kiribati,2,045,-157,446,19
Yakutsk, Russia,62,031,129,68,96
Yuzhno Sakhalinsk, Russia,46,959,142,76,148
